id,geo,hh_size,hh_kids,hh_cellular,hh_education,hh_head_female,village_pop,village_far,treatment,asset_tot_value_bsl,asset_prod_value_bsl,asset_hh_value_bsl,asset_index_bsl,asset_prod_index_bsl,asset_hh_index_bsl,iagri_month_bsl,ibusiness_month_bsl,ipaidlabor_month_bsl,index_foodsecurity_bsl,fs_enoughfood_bsl,fs_adultskip_bsl,fs_wholeday_bsl,fs_childskip_bsl,fs_twomeals_bsl,control_primeageadult,control_income_pc,control_asset_count
37756,318,8,1,0,0,0,850,1,0,266.1825256,182.5413055,83.64122009,-0.120905451,-0.090131707,-0.451643497,40.69255447,0,98.33104706,0.740589142,0,1,1,1,0,1,36.89517212,29
37757,318,6,1,1,1,0,850,1,1,515.6933594,268.7256775,246.9676514,0.03956743,-0.05787354,1.396136999,50.63343048,0,243.4864044,0.740589142,0,1,1,1,0,1,101.2955704,48
37758,318,3,1,1,0,0,850,1,1,83.64122009,11.30286789,72.33835602,-0.235315695,-0.178823188,-0.830419838,0,0,187.2972412,0.740589142,0,1,1,1,0,1,128.8837738,7
37759,318,4,1,0,0,0,850,1,0,264.1480103,177.681076,86.4669342,-0.201087579,-0.137472078,-0.92880863,-14.21452236,0,0,0.740589142,0,1,1,1,0,1,-12.11840057,20
37760,318,8,1,0,0,0,850,1,1,2300.529053,1904.363647,396.1654968,0.482264102,0.517210901,-0.451643497,172.9897766,0,0,0.740589142,0,1,1,1,0,1,41.04333878,36
37761,318,8,1,1,1,0,850,1,1,491.2791443,203.6211548,287.6579895,0.01894952,-0.051155519,1.003525496,-23.55151176,0,98.33104706,-2.229411125,0,0,0,0,0,1,18.57738686,29
37762,318,3,1,0,1,0,850,1,0,353.2145996,191.0184631,162.1961517,-0.169435605,-0.104255646,-0.948032916,38.60605621,0,0,0.740589142,0,1,1,1,0,1,24.00854683,43
37764,318,7,1,0,0,0,850,1,0,171.3514709,101.2736969,70.07778168,-0.138766512,-0.137068972,-0.037971593,27.87161064,0,518.4119873,-1.12978065,0,0,1,0,0,1,160.5567474,30
37765,318,6,1,0,1,0,850,1,0,142.6987,60.18777084,82.51093292,-0.227167547,-0.183390096,-0.647942901,0,0,224.7566833,-1.12978065,0,0,1,0,0,1,75.81990814,11
37766,318,4,1,0,0,0,850,1,1,42.27272415,16.95430183,11.30286789,-0.257209778,-0.18334204,-1.080839157,0,0,140.4729309,-1.214466095,0,0,0,1,0,1,72.49712372,4
37767,318,7,1,0,0,0,850,1,1,232.2739258,142.9812775,89.29265594,-0.139014512,-0.105267711,-0.495912284,-21.22093773,0,28.09458542,-1.12978065,0,0,1,0,0,1,0.109197207,61
37768,318,3,1,0,0,0,850,1,0,78.44190216,21.92756271,56.51433945,-0.270704955,-0.193832234,-1.125108004,0.278716207,0,5.016889572,-0.11483559,0,0,1,1,0,0,3.644035339,7
37769,318,8,1,1,1,1,850,1,0,1267.277466,1028.560913,238.716568,0.222873345,0.173051372,0.733881831,265.0126343,0,167.22966,-1.214466095,0,0,0,1,0,1,108.7816467,20
37770,318,8,1,0,0,0,850,1,1,546.7762451,426.4006958,120.3755417,-0.043169834,-0.048353091,0.069790341,55.66889954,0,168.5675201,-1.12978065,0,0,1,0,0,1,56.42501068,21
37771,318,5,1,0,0,0,850,1,1,2496.634033,1832.703491,663.9304199,0.2941854,0.315437615,-0.274568498,41.73309326,0,198.6688538,0.740589142,0,1,1,1,0,1,99.25584412,54
37801,319,3,1,1,0,0,345,1,0,644.8286133,389.1577454,255.6708679,0.504256546,0.521828771,-0.201224059,-37.45015335,0,86.95942688,0.740589142,0,1,1,1,0,1,17.06303978,18
37802,319,6,1,0,0,0,345,1,1,451.0974426,283.2498779,167.84758,-0.132825911,-0.102134638,-0.451643497,32.51688385,0,111.5979385,-0.11483559,0,0,1,1,0,1,36.87334442,25
37803,319,9,1,1,0,0,345,1,0,623.0705566,178.8678741,444.2026978,-0.055510622,-0.129229113,1.047794342,-28.70775986,0,524.4321899,0.740589142,0,1,1,1,0,1,111.8953171,31
37804,319,2,0,1,0,0,345,1,0,558.3616333,306.3077087,252.0539551,0.231341794,0.141070098,1.312659502,15.88681507,0,278.7161255,0.740589142,0,1,1,1,0,1,263.2336121,72
37805,319,7,1,0,1,0,345,1,1,446.8023682,277.2593384,169.5430145,-0.067511566,-0.053023309,-0.213680208,-9.011821747,0,149.8377838,-2.229411125,0,0,0,0,0,1,42.69744492,28
37807,319,6,1,1,0,0,345,1,1,658.3920288,355.4751892,302.9168396,-0.044211056,-0.036630068,-0.112686567,-20.70860863,0,187.2972412,-0.11483559,0,0,1,1,0,1,55.5770607,22
37808,319,4,1,1,0,0,345,1,0,628.4394531,446.4632568,181.9761658,0.010480342,0.018439719,-0.112686567,52.88174057,-144.2510681,7.43242979,-0.359041333,0,1,0,1,0,1,-48.84525299,29
37809,319,6,1,0,1,0,345,1,0,234.8170776,138.7427063,96.07437134,-0.145669758,-0.124362379,-0.318837196,13.37837505,0,112.3783264,0.740589142,0,1,1,1,0,1,41.15841675,35
37810,319,8,1,1,1,0,345,1,1,909.3156738,341.9117432,567.4039307,-0.037456084,-0.026730007,-0.156955361,-9.104726791,0,171.3546753,-2.229411125,0,0,0,0,0,1,40.79521179,26
37812,319,8,1,0,1,1,345,1,1,178.5853119,144.676712,33.90860367,-0.144247159,-0.140834674,-0.06301605,0.278716087,0,7.246618748,0.740589142,0,1,1,1,0,1,0.869054437,7
37813,319,6,1,1,1,0,345,1,0,207.1250458,134.7866974,72.33835602,0.484096587,0.512169838,-0.353254706,9.29053688,0,46.8243103,0.740589142,0,1,1,1,0,1,19.01930809,8
