st,state,cd,dailykos_name,largest_place,pct_trump,pct_romney,pct_mccain,totalvoters,region,division
FL,Florida,FL-23,Broward County-centered,Pembroke Pines,0.3664278403275333,0.3822937625754527,0.3756294058408862,341474,South,South Atlantic
FL,Florida,FL-24,Northern Miami,Miami,0.15666327568667343,0.13955823293172692,0.1566265060240964,268886,South,South Atlantic
FL,Florida,FL-25,Northwestern Miami suburbs and eastern Collier County across the Everglades,Hialeah,0.5092213114754099,0.5482897384305836,0.5915492957746479,269040,South,South Atlantic
FL,Florida,FL-26,Southwestern Miami area and the Florida Keys,Homestead,0.4162384378211717,0.44209466263846936,0.4818913480885312,293093,South,South Atlantic
FL,Florida,FL-27,Southern Miami area and Coral Gables,Miami,0.3993839835728953,0.4662638469284995,0.4959758551307847,302938,South,South Atlantic
GA,Georgia,GA-01,Coastal Georgia,Savannah,0.579650565262076,0.5652173913043478,0.5533199195171027,271881,South,South Atlantic
GA,Georgia,GA-02,Southwestern Georgia,Columbus,0.4404883011190234,0.4104627766599597,0.4180904522613066,248924,South,South Atlantic
GA,Georgia,GA-03,Southwestern Atlanta exurbs,Columbus,0.6622039134912462,0.666329625884732,0.6576032225579053,316627,South,South Atlantic
GA,Georgia,GA-04,Eastern Atlanta suburbs,Redan,0.2276923076923077,0.25806451612903225,0.264321608040201,302669,South,South Atlantic
GA,Georgia,GA-05,Downtown Atlanta,Atlanta,0.12280701754385966,0.1597573306370071,0.15090543259557343,305576,South,South Atlantic
GA,Georgia,GA-06,Northern Atlanta suburbs,Roswell,0.5078864353312303,0.6185147507629705,0.5953582240161452,337293,South,South Atlantic
GA,Georgia,GA-07,Northeastern Atlanta suburbs,Peachtree Corners,0.5328467153284672,0.6111675126903554,0.6058467741935484,299476,South,South Atlantic
GA,Georgia,GA-08,South-central Georgia,Warner Robins,0.6479017400204709,0.6215943491422805,0.6197183098591549,267479,South,South Atlantic
GA,Georgia,GA-09,Northeastern Georgia,Gainesville,0.8012358393408856,0.7920892494929006,0.7545454545454545,301411,South,South Atlantic
GA,Georgia,GA-10,East-Central Georgia,Athens,0.631307929969104,0.6325910931174089,0.6088709677419355,318493,South,South Atlantic
GA,Georgia,GA-11,Northwestern Atlanta suburbs and exurbs,Marietta,0.6307531380753139,0.6798780487804879,0.6494949494949496,335634,South,South Atlantic
GA,Georgia,GA-12,Augusta and southeastern Georgia,Augusta,0.5829918032786885,0.5595959595959595,0.5587939698492462,270898,South,South Atlantic
GA,Georgia,GA-13,Southwestern Atlanta suburbs,Mableton,0.2725409836065574,0.3024193548387097,0.32494969818913483,303923,South,South Atlantic
GA,Georgia,GA-14,Northwestern Georgia,Rome,0.772399588053553,0.7431472081218274,0.7186234817813765,259607,South,South Atlantic
HI,Hawaii,HI-01,Honolulu,Urban Honolulu,0.32585470085470086,0.29381965552178313,0.28701825557809335,211722,West,Pacific
HI,Hawaii,HI-02,Northern Oahu and all other islands,Hilo,0.3252747252747253,0.27217125382262997,0.25330620549338756,222381,West,Pacific
IA,Iowa,IA-01,Northeastern Iowa,Cedar Rapids,0.5186368477103301,0.4305977710233029,0.4084934277047523,397929,North Central,West North Central
IA,Iowa,IA-02,Southeastern Iowa,Davenport,0.5217853347502657,0.433502538071066,0.4214792299898683,387785,North Central,West North Central
IA,Iowa,IA-03,Des Moines and southwestern Iowa,Des Moines,0.5187165775401069,0.4787018255578094,0.4690982776089158,406398,North Central,West North Central
IA,Iowa,IA-04,Northwestern Iowa,Sioux City,0.6451271186440678,0.541033434650456,0.5086119554204661,385391,North Central,West North Central
ID,Idaho,ID-01,Idaho Panhandle and western Boise area,Nampa,0.7149270482603816,0.6683831101956745,0.6403688524590164,365736,West,Mountain
ID,Idaho,ID-02,Boise and Eastern Idaho,Boise City,0.6465005931198102,0.6594650205761317,0.6198770491803278,336046,West,Mountain
IL,Illinois,IL-01,South Side Chicago and southern suburbs,Chicago,0.22107438016528927,0.2036290322580645,0.18630412890231624,330065,North Central,East North Central
IL,Illinois,IL-02,South Side Chicago and southwestern suburbs,Chicago,0.19670442842430483,0.18649193548387097,0.18328298086606248,306945,North Central,East North Central
IL,Illinois,IL-03,Southwestern Chicago area,Chicago,0.41955835962145105,0.4324873096446701,0.4093211752786221,290037,North Central,East North Central
IL,Illinois,IL-04,Heavily Latino areas of Chicago's West and South sides and their suburbs,Chicago,0.1385099685204617,0.17448979591836736,0.18439716312056736,212948,North Central,East North Central
IL,Illinois,IL-05,North Side Chicago,Chicago,0.2531779661016949,0.32515337423312884,0.2917933130699088,327821,North Central,East North Central
IL,Illinois,IL-06,Western Chicago suburbs,Wheaton,0.46252676659528913,0.5416666666666666,0.4797160243407707,364400,North Central,East North Central
IL,Illinois,IL-07,West Side and Downtown Chicago,Chicago,0.09523809523809525,0.1191919191919192,0.09969788519637462,311990,North Central,East North Central
IL,Illinois,IL-08,Northwestern Chicago suburbs,Elgin,0.3851851851851852,0.41607324516785354,0.3762677484787018,259452,North Central,East North Central
IL,Illinois,IL-09,Northern Chicago Suburbs,Chicago,0.26210526315789473,0.33875890132248215,0.3063700707785642,345406,North Central,East North Central
